🕘️更新时间,#genre#
2025-01-30 09:57:54,http://183.66.15.146:60901/tsfile/live/0001_1.m3u8$订阅源

📺央视频道,#genre#
CCTV-1,http://183.66.15.146:60901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://183.66.15.146:60901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8$订阅源
CCTV-1,http://123.157.31.182:7912/rtp/233.50.201.118:5140$浙江联通组播源
CCTV-1,http://49.79.3.119:8890/rtp/239.49.8.129:6000$江苏电信组播源
CCTV-1,http://49.79.3.119:8890/rtp/239.49.1.1:6000$江苏电信组播源
CCTV-1,http://114.252.236.205:8000/rtp/239.3.1.129:8008$北京联通组播源
CCTV-1,http://114.240.224.31:3000/rtp/239.3.1.129:8008$北京联通组播源
CCTV-1,http://60.2.190.206:4000/rtp/239.253.92.83:8012$河北联通组播源
CCTV-1,http://117.86.50.46:7777/rtp/239.49.8.129:6000$江苏电信组播源
CCTV-2,http://183.66.15.146:60901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://183.66.15.146:60901/tsfile/live/0002_1.m3u8?key=txiptv$订阅源
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8$订阅源
CCTV-2,http://123.157.31.182:7912/rtp/233.50.201.119:5140$浙江联通组播源
CCTV-2,http://49.79.3.119:8890/rtp/239.49.8.130:6000$江苏电信组播源
CCTV-2,http://49.79.3.119:8890/rtp/239.49.1.2:6000$江苏电信组播源
CCTV-2,http://114.252.236.205:8000/rtp/239.3.1.60:8084$北京联通组播源
CCTV-2,http://114.240.224.31:3000/rtp/239.3.1.60:8084$北京联通组播源
CCTV-2,http://60.2.190.206:4000/rtp/239.253.92.190:6065$河北联通组播源
CCTV-2,http://117.86.50.46:7777/rtp/239.49.8.130:6000$江苏电信组播源
CCTV-3,http://[2409:8087:1a01:df::4041]:80/TVOD/88888888/224/3221225799/main.m3u8$订阅源-IPv6
CCTV-3,http://183.66.15.146:60901/tsfile/live/0003_1.m3u8?key=txiptv$订阅源
CCTV-3,http://183.66.15.146:60901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://123.157.31.182:7912/rtp/233.50.201.196:5140$浙江联通组播源
CCTV-3,http://49.79.3.119:8890/rtp/239.49.9.31:6000$江苏电信组播源
CCTV-3,http://49.79.3.119:8890/rtp/239.49.1.3:6000$江苏电信组播源
CCTV-3,http://114.252.236.205:8000/rtp/239.3.1.172:8001$北京联通组播源
CCTV-3,http://114.240.224.31:3000/rtp/239.3.1.172:8001$北京联通组播源
CCTV-3,http://60.2.190.206:4000/rtp/239.253.92.191:6057$河北联通组播源
CCTV-3,http://117.86.50.46:7777/rtp/239.49.9.31:6000$江苏电信组播源
CCTV-4,http://183.66.15.146:60901/tsfile/live/0004_1.m3u8?key=txiptv$订阅源
CCTV-4,http://183.66.15.146:60901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://123.157.31.182:7912/rtp/233.50.201.4:5140$浙江联通组播源
CCTV-4,http://49.79.3.119:8890/rtp/239.49.8.131:6000$江苏电信组播源
CCTV-4,http://49.79.3.119:8890/rtp/239.49.1.4:6000$江苏电信组播源
CCTV-4,http://114.252.236.205:8000/rtp/239.3.1.105:8092$北京联通组播源
CCTV-4,http://114.252.236.205:8000/rtp/239.3.1.213:4220$北京联通组播源
CCTV-4,http://114.240.224.31:3000/rtp/239.3.1.105:8092$北京联通组播源
CCTV-4,http://114.240.224.31:3000/rtp/239.3.1.213:4220$北京联通组播源
CCTV-4,http://60.2.190.206:4000/rtp/239.253.93.192:6370$河北联通组播源
CCTV-5,http://183.66.15.146:60901/tsfile/live/0005_1.m3u8?key=txiptv$订阅源
CCTV-5,http://183.66.15.146:60901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://123.157.31.182:7912/rtp/233.50.201.197:5140$浙江联通组播源
CCTV-5,http://49.79.3.119:8890/rtp/239.49.9.32:6000$江苏电信组播源
CCTV-5,http://49.79.3.119:8890/rtp/239.49.1.5:6000$江苏电信组播源
CCTV-5,http://114.252.236.205:8000/rtp/239.3.1.173:8001$北京联通组播源
CCTV-5,http://114.240.224.31:3000/rtp/239.3.1.173:8001$北京联通组播源
CCTV-5,http://60.2.190.206:4000/rtp/239.253.92.181:6046$河北联通组播源
CCTV-5,http://117.86.50.46:7777/rtp/239.49.9.32:6000$江苏电信组播源
CCTV-5,http://117.86.50.46:7777/rtp/239.49.1.5:6000$江苏电信组播源
CCTV-5+,http://123.157.31.182:7912/rtp/233.50.201.220:5140$浙江联通组播源
CCTV-5+,http://49.79.3.119:8890/rtp/239.49.8.137:6000$江苏电信组播源
CCTV-5+,http://114.252.236.205:8000/rtp/239.3.1.130:8004$北京联通组播源
CCTV-5+,http://114.240.224.31:3000/rtp/239.3.1.130:8004$北京联通组播源
CCTV-5+,http://60.2.190.206:4000/rtp/239.253.92.82:8013$河北联通组播源
CCTV-5+,http://117.86.50.46:7777/rtp/239.49.8.137:6000$江苏电信组播源
CCTV-5+,http://112.255.69.58:6666/rtp/239.253.254.80:8000$山东联通组播源
CCTV-5+,http://183.66.15.138:4070/rtp/235.254.198.122:1764$重庆电信组播源
CCTV-5+,http://117.86.49.151:7777/rtp/239.49.8.137:6000$江苏电信组播源
CCTV-5+,http://58.19.38.162:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-6,http://183.66.15.146:60901/tsfile/live/0006_1.m3u8?key=txiptv$订阅源
CCTV-6,http://183.66.15.146:60901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://123.157.31.182:7912/rtp/233.50.201.198:5140$浙江联通组播源
CCTV-6,http://49.79.3.119:8890/rtp/239.49.9.33:6000$江苏电信组播源
CCTV-6,http://49.79.3.119:8890/rtp/239.49.1.6:6000$江苏电信组播源
CCTV-6,http://114.252.236.205:8000/rtp/239.3.1.174:8001$北京联通组播源
CCTV-6,http://114.240.224.31:3000/rtp/239.3.1.174:8001$北京联通组播源
CCTV-6,http://60.2.190.206:4000/rtp/239.253.92.193:6058$河北联通组播源
CCTV-6,http://117.86.50.46:7777/rtp/239.49.9.33:6000$江苏电信组播源
CCTV-6,http://117.86.50.46:7777/rtp/239.49.1.6:6000$江苏电信组播源
CCTV-7,http://183.66.15.146:60901/tsfile/live/0007_1.m3u8?key=txiptv$订阅源
CCTV-7,http://123.157.31.182:7912/rtp/233.50.201.120:5140$浙江联通组播源
CCTV-7,http://49.79.3.119:8890/rtp/239.49.8.132:6000$江苏电信组播源
CCTV-7,http://49.79.3.119:8890/rtp/239.49.1.254:6000$江苏电信组播源
CCTV-7,http://114.252.236.205:8000/rtp/239.3.1.61:8104$北京联通组播源
CCTV-7,http://114.240.224.31:3000/rtp/239.3.1.61:8104$北京联通组播源
CCTV-7,http://60.2.190.206:4000/rtp/239.253.92.194:6059$河北联通组播源
CCTV-7,http://117.86.50.46:7777/rtp/239.49.8.132:6000$江苏电信组播源
CCTV-7,http://117.86.50.46:7777/rtp/239.49.1.254:6000$江苏电信组播源
CCTV-7,http://112.255.69.58:6666/rtp/239.253.254.233:8000$山东联通组播源
CCTV-8,http://183.66.15.146:60901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://183.66.15.146:60901/tsfile/live/0008_1.m3u8?key=txiptv$订阅源
CCTV-8,http://123.157.31.182:7912/rtp/233.50.201.199:5140$浙江联通组播源
CCTV-8,http://49.79.3.119:8890/rtp/239.49.9.34:6000$江苏电信组播源
CCTV-8,http://49.79.3.119:8890/rtp/239.49.1.8:6000$江苏电信组播源
CCTV-8,http://114.252.236.205:8000/rtp/239.3.1.175:8001$北京联通组播源
CCTV-8,http://114.240.224.31:3000/rtp/239.3.1.175:8001$北京联通组播源
CCTV-8,http://60.2.190.206:4000/rtp/239.253.92.195:6060$河北联通组播源
CCTV-8,http://117.86.50.46:7777/rtp/239.49.9.34:6000$江苏电信组播源
CCTV-8,http://117.86.50.46:7777/rtp/239.49.1.8:6000$江苏电信组播源
CCTV-9,http://183.66.15.146:60901/tsfile/live/0009_1.m3u8?key=txiptv$订阅源
CCTV-9,http://123.157.31.182:7912/rtp/233.50.201.121:5140$浙江联通组播源
CCTV-9,http://49.79.3.119:8890/rtp/239.49.8.133:6000$江苏电信组播源
CCTV-9,http://114.252.236.205:8000/rtp/239.3.1.62:8112$北京联通组播源
CCTV-9,http://114.240.224.31:3000/rtp/239.3.1.62:8112$北京联通组播源
CCTV-9,http://60.2.190.206:4000/rtp/239.253.92.107:6020$河北联通组播源
CCTV-9,http://117.86.50.46:7777/rtp/239.49.8.133:6000$江苏电信组播源
CCTV-9,http://112.255.69.58:6666/rtp/239.253.254.79:8000$山东联通组播源
CCTV-9,http://114.95.156.205:4022/rtp/239.45.3.4:5140$上海电信组播源
CCTV-9,http://183.66.15.138:4070/rtp/235.254.198.58:1508$重庆电信组播源
CCTV-10,http://183.66.15.146:60901/tsfile/live/0010_1.m3u8?key=txiptv$订阅源
CCTV-10,http://183.66.15.146:60901/tsfile/live/0010_1.m3u8$订阅源
